Leading Cancer Sites,Year,State,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Brain and Other Nervous System,1999,Ohio,0.678,4.772,7.038
Brain and Other Nervous System,1999,Oklahoma,0.661,4.757,7.195
Brain and Other Nervous System,1999,Oregon,0.662,4.502,6.797
Brain and Other Nervous System,1999,Pennsylvania,0.669,4.521,6.759
Brain and Other Nervous System,1999,Rhode Island,0.652,5.799,8.888
Brain and Other Nervous System,1999,South Carolina,0.833,5.539,6.651
Brain and Other Nervous System,1999,Tennessee,0.919,4.969,5.406
Brain and Other Nervous System,1999,Texas,0.686,4.796,6.989
Brain and Other Nervous System,1999,Utah,0.798,5.208,6.53
Brain and Other Nervous System,1999,Vermont,0.514,3.709,7.212
Brain and Other Nervous System,1999,Virginia,0.651,4.26,6.545
Brain and Other Nervous System,1999,Washington,0.712,6.068,8.521
Brain and Other Nervous System,1999,West Virginia,0.63,4.345,6.894
Brain and Other Nervous System,1999,Wisconsin,0.649,4.7,7.238
Brain and Other Nervous System,1999,Wyoming,0.82,6.039,7.365
Brain and Other Nervous System,2000,Alabama,0.727,4.756,6.542
Brain and Other Nervous System,2000,Arizona,0.686,4.273,6.233
Brain and Other Nervous System,2000,California,0.732,4.53,6.187
Brain and Other Nervous System,2000,Colorado,0.631,4.369,6.924
Brain and Other Nervous System,2000,Connecticut,0.557,4.573,8.207
Brain and Other Nervous System,2000,Delaware,0.825,4.821,5.844
Brain and Other Nervous System,2000,District of Columbia,0.518,3.207,6.194
Brain and Other Nervous System,2000,Florida,0.621,4.7,7.568
Brain and Other Nervous System,2000,Georgia,0.661,4.089,6.189
Brain and Other Nervous System,2000,Hawaii,0.574,2.836,4.939
Brain and Other Nervous System,2000,Idaho,0.65,5.54,8.53
Brain and Other Nervous System,2000,Illinois,0.656,4.175,6.368
Brain and Other Nervous System,2000,Indiana,0.706,4.462,6.321
Brain and Other Nervous System,2000,Iowa,0.631,4.673,7.401
Brain and Other Nervous System,2000,Kansas,0.668,4.61,6.905
Brain and Other Nervous System,2000,Kentucky,0.666,4.682,7.025
Brain and Other Nervous System,2000,Louisiana,0.619,3.866,6.243
Brain and Other Nervous System,2000,Maine,0.545,4.998,9.175
Brain and Other Nervous System,2000,Maryland,0.578,3.975,6.874
Brain and Other Nervous System,2000,Massachusetts,0.585,4.704,8.046
Brain and Other Nervous System,2000,Michigan,0.707,5.067,7.17
Brain and Other Nervous System,2000,Minnesota,0.844,5.433,6.44
Brain and Other Nervous System,2000,Missouri,0.694,4.941,7.122
Brain and Other Nervous System,2000,Montana,0.747,5.613,7.511
Brain and Other Nervous System,2000,Nebraska,0.814,5.775,7.091
Brain and Other Nervous System,2000,Nevada,0.749,4.554,6.077
Brain and Other Nervous System,2000,New Hampshire,0.635,4.585,7.224
Brain and Other Nervous System,2000,New Jersey,0.522,3.877,7.432
Brain and Other Nervous System,2000,New Mexico,0.56,3.26,5.826
Brain and Other Nervous System,2000,New York,0.491,3.682,7.504
Brain and Other Nervous System,2000,North Carolina,0.744,4.76,6.396
Brain and Other Nervous System,2000,North Dakota,0.562,3.56,6.339
Brain and Other Nervous System,2000,Ohio,0.658,4.425,6.722
Brain and Other Nervous System,2000,Oklahoma,0.745,5.221,7.012
Brain and Other Nervous System,2000,Oregon,0.624,4.846,7.767
Brain and Other Nervous System,2000,Pennsylvania,0.59,4.174,7.08
Brain and Other Nervous System,2000,Rhode Island,0.731,5.793,7.929
Brain and Other Nervous System,2000,South Carolina,0.858,5.009,5.836
Brain and Other Nervous System,2000,Tennessee,0.849,5.096,6.002
Brain and Other Nervous System,2000,Texas,0.66,4.673,7.085
Brain and Other Nervous System,2000,Utah,0.674,4.835,7.17
Brain and Other Nervous System,2000,Vermont,0.608,4.13,6.788
Brain and Other Nervous System,2000,Virginia,0.69,4.105,5.951
Brain and Other Nervous System,2000,Washington,0.77,5.753,7.476
Brain and Other Nervous System,2000,West Virginia,0.516,3.628,7.034
Brain and Other Nervous System,2000,Wisconsin,0.683,4.944,7.243
Brain and Other Nervous System,2000,Wyoming,0.8,5.243,6.555
Brain and Other Nervous System,2001,Alabama,0.67,4.409,6.577
Brain and Other Nervous System,2001,Alaska,0.631,4.528,7.181
Brain and Other Nervous System,2001,Arizona,0.653,4.156,6.365
Brain and Other Nervous System,2001,Arkansas,0.891,4.829,5.419
Brain and Other Nervous System,2001,California,0.703,4.362,6.206
Brain and Other Nervous System,2001,Colorado,0.588,4.413,7.501
Brain and Other Nervous System,2001,Connecticut,0.542,4.064,7.505
Brain and Other Nervous System,2001,Delaware,0.667,5.641,8.463
Brain and Other Nervous System,2001,District of Columbia,0.671,4.016,5.981
Brain and Other Nervous System,2001,Florida,0.658,4.581,6.965
Brain and Other Nervous System,2001,Georgia,0.589,3.865,6.56
Brain and Other Nervous System,2001,Hawaii,0.469,2.576,5.488
Brain and Other Nervous System,2001,Idaho,0.739,5.09,6.884
Brain and Other Nervous System,2001,Illinois,0.702,4.555,6.491
Brain and Other Nervous System,2001,Indiana,0.672,4.772,7.097
Brain and Other Nervous System,2001,Iowa,0.648,5.124,7.903
Brain and Other Nervous System,2001,Kansas,0.704,5.199,7.385
Brain and Other Nervous System,2001,Kentucky,0.788,4.924,6.248
Brain and Other Nervous System,2001,Louisiana,0.798,4.695,5.886
Brain and Other Nervous System,2001,Maine,0.761,4.895,6.432
Brain and Other Nervous System,2001,Maryland,0.746,4.22,5.658
Brain and Other Nervous System,2001,Massachusetts,0.558,3.993,7.149
Brain and Other Nervous System,2001,Michigan,0.674,4.807,7.126
Brain and Other Nervous System,2001,Minnesota,0.756,5.115,6.762
Brain and Other Nervous System,2001,Missouri,0.666,4.512,6.779
Brain and Other Nervous System,2001,Montana,0.662,4.272,6.456
Brain and Other Nervous System,2001,Nebraska,0.626,4.844,7.733
Brain and Other Nervous System,2001,Nevada,0.588,3.538,6.011
Brain and Other Nervous System,2001,New Hampshire,0.628,4.991,7.952
Brain and Other Nervous System,2001,New Jersey,0.509,3.711,7.287
Brain and Other Nervous System,2001,New Mexico,0.797,3.961,4.97
Brain and Other Nervous System,2001,New York,0.516,3.638,7.047
Brain and Other Nervous System,2001,North Carolina,0.676,4.271,6.317
Brain and Other Nervous System,2001,North Dakota,0.802,6.13,7.643
Brain and Other Nervous System,2001,Ohio,0.631,4.492,7.119
Brain and Other Nervous System,2001,Oklahoma,0.648,4.592,7.088
Brain and Other Nervous System,2001,Oregon,0.679,4.895,7.205
Brain and Other Nervous System,2001,Pennsylvania,0.641,4.385,6.835
Brain and Other Nervous System,2001,Rhode Island,0.675,3.93,5.823
Brain and Other Nervous System,2001,South Carolina,0.639,3.923,6.136
Brain and Other Nervous System,2001,South Dakota,0.81,4.887,6.032
Brain and Other Nervous System,2001,Tennessee,0.783,5.147,6.576
Brain and Other Nervous System,2001,Texas,0.658,4.706,7.151
Brain and Other Nervous System,2001,Utah,0.622,4.078,6.561
Brain and Other Nervous System,2001,Vermont,0.507,4.067,8.02
Brain and Other Nervous System,2001,Virginia,0.844,4.272,5.06
Brain and Other Nervous System,2001,Washington,0.779,5.742,7.374
Brain and Other Nervous System,2001,West Virginia,0.623,4.6,7.389
Brain and Other Nervous System,2001,Wisconsin,0.633,4.732,7.478
Brain and Other Nervous System,2001,Wyoming,0.552,3.924,7.114
Brain and Other Nervous System,2002,Alabama,0.697,4.676,6.706
Brain and Other Nervous System,2002,Alaska,0.638,3.949,6.188
Brain and Other Nervous System,2002,Arizona,0.597,3.982,6.67
Brain and Other Nervous System,2002,Arkansas,1.013 (Unreliable),5.369,5.299
Brain and Other Nervous System,2002,California,0.692,4.447,6.422
Brain and Other Nervous System,2002,Colorado,0.647,4.321,6.68
Brain and Other Nervous System,2002,Connecticut,0.566,3.956,6.983
Brain and Other Nervous System,2002,Delaware,0.823,4.836,5.879
Brain and Other Nervous System,2002,District of Columbia,0.663,3.083,4.648
Brain and Other Nervous System,2002,Florida,0.6,4.299,7.167
Brain and Other Nervous System,2002,Georgia,0.661,4.321,6.54
Brain and Other Nervous System,2002,Hawaii,0.684,2.99,4.369
Brain and Other Nervous System,2002,Idaho,0.557,4.688,8.424
Brain and Other Nervous System,2002,Illinois,0.617,3.803,6.169
Brain and Other Nervous System,2002,Indiana,0.697,4.886,7.014
Brain and Other Nervous System,2002,Iowa,0.689,5.105,7.406
Brain and Other Nervous System,2002,Kansas,0.816,5.573,6.829
Brain and Other Nervous System,2002,Kentucky,0.692,4.683,6.765
Brain and Other Nervous System,2002,Louisiana,0.752,4.125,5.486
Brain and Other Nervous System,2002,Maine,0.63,5.427,8.609
Brain and Other Nervous System,2002,Maryland,0.544,3.893,7.151
Brain and Other Nervous System,2002,Massachusetts,0.611,4.277,7
Brain and Other Nervous System,2002,Michigan,0.658,4.824,7.334
Brain and Other Nervous System,2002,Minnesota,0.635,4.74,7.469
Brain and Other Nervous System,2002,Missouri,0.629,4.493,7.138
Brain and Other Nervous System,2002,Montana,0.502,4.618,9.206
Brain and Other Nervous System,2002,Nebraska,0.688,4.993,7.256
Brain and Other Nervous System,2002,Nevada,0.58,3.883,6.699
Brain and Other Nervous System,2002,New Hampshire,0.822,5.53,6.725
Brain and Other Nervous System,2002,New Jersey,0.541,3.62,6.69
Brain and Other Nervous System,2002,New Mexico,0.58,3.389,5.842
Brain and Other Nervous System,2002,New York,0.55,3.866,7.024
Brain and Other Nervous System,2002,North Carolina,0.679,4.618,6.802
Brain and Other Nervous System,2002,North Dakota,0.843,5.355,6.355
Brain and Other Nervous System,2002,Ohio,0.647,4.552,7.039
Brain and Other Nervous System,2002,Oklahoma,0.688,5.156,7.493
Brain and Other Nervous System,2002,Oregon,0.829,6.055,7.301
Brain and Other Nervous System,2002,Pennsylvania,0.559,4.054,7.255
Brain and Other Nervous System,2002,Rhode Island,0.682,5.079,7.451
Brain and Other Nervous System,2002,South Carolina,0.695,4.77,6.862
Brain and Other Nervous System,2002,South Dakota,0.74,5.61,7.586
Brain and Other Nervous System,2002,Tennessee,0.897,5.766,6.43
Brain and Other Nervous System,2002,Texas,0.659,4.736,7.191
Brain and Other Nervous System,2002,Utah,0.643,4.752,7.386
Brain and Other Nervous System,2002,Vermont,0.667,4.744,7.113
Brain and Other Nervous System,2002,Virginia,0.708,3.729,5.263
Brain and Other Nervous System,2002,Washington,0.688,5.558,8.084
Brain and Other Nervous System,2002,West Virginia,0.654,4.808,7.353
Brain and Other Nervous System,2002,Wisconsin,0.658,4.756,7.227
Brain and Other Nervous System,2002,Wyoming,0.497,3.441,6.927
Brain and Other Nervous System,2003,Alabama,0.667,4.306,6.456
Brain and Other Nervous System,2003,Alaska,0.761,4.495,5.903
Brain and Other Nervous System,2003,Arizona,0.665,4.015,6.038
Brain and Other Nervous System,2003,Arkansas,0.768,5.074,6.604
Brain and Other Nervous System,2003,California,0.67,4.363,6.511
Brain and Other Nervous System,2003,Colorado,0.771,4.973,6.452
Brain and Other Nervous System,2003,Connecticut,0.549,4.083,7.435
Brain and Other Nervous System,2003,Delaware,0.767,3.935,5.129
Brain and Other Nervous System,2003,District of Columbia,0.522,2.869,5.493
Brain and Other Nervous System,2003,Florida,0.568,3.96,6.975
Brain and Other Nervous System,2003,Georgia,0.622,3.91,6.29
Brain and Other Nervous System,2003,Hawaii,0.918,3.715,4.046
Brain and Other Nervous System,2003,Idaho,0.842,6.275,7.453
Brain and Other Nervous System,2003,Illinois,0.626,4.047,6.46
Brain and Other Nervous System,2003,Indiana,0.679,4.807,7.08
Brain and Other Nervous System,2003,Iowa,0.771,5.595,7.26
Brain and Other Nervous System,2003,Kansas,0.711,5.193,7.307
Brain and Other Nervous System,2003,Kentucky,0.693,4.898,7.065
Brain and Other Nervous System,2003,Louisiana,0.766,4.871,6.361
Brain and Other Nervous System,2003,Maine,0.631,4.54,7.198
Brain and Other Nervous System,2003,Maryland,0.616,4.291,6.967
Brain and Other Nervous System,2003,Massachusetts,0.583,4.292,7.366
Brain and Other Nervous System,2003,Michigan,0.669,4.665,6.973
Brain and Other Nervous System,2003,Minnesota,0.763,4.757,6.232
Brain and Other Nervous System,2003,Mississippi,0.834,5.014,6.016
Brain and Other Nervous System,2003,Missouri,0.675,4.472,6.626
Brain and Other Nervous System,2003,Montana,0.753,5.567,7.393
Brain and Other Nervous System,2003,Nebraska,0.722,4.456,6.17
Brain and Other Nervous System,2003,Nevada,0.673,4.611,6.848
Brain and Other Nervous System,2003,New Hampshire,0.534,4.055,7.597
Brain and Other Nervous System,2003,New Jersey,0.457,3.483,7.614
Brain and Other Nervous System,2003,New Mexico,0.79,3.899,4.934
Brain and Other Nervous System,2003,New York,0.504,3.563,7.067
Brain and Other Nervous System,2003,North Carolina,0.703,4.605,6.551
Brain and Other Nervous System,2003,North Dakota,0.595,3.922,6.595
Brain and Other Nervous System,2003,Ohio,0.657,4.501,6.855
Brain and Other Nervous System,2003,Oklahoma,0.717,5.231,7.291
Brain and Other Nervous System,2003,Oregon,0.693,5.367,7.741
Brain and Other Nervous System,2003,Pennsylvania,0.605,4.223,6.981
Brain and Other Nervous System,2003,Rhode Island,0.577,5.124,8.886
Brain and Other Nervous System,2003,South Carolina,0.698,4.511,6.459
Brain and Other Nervous System,2003,South Dakota,0.763,6.242,8.185
Brain and Other Nervous System,2003,Tennessee,0.858,5.783,6.741
Brain and Other Nervous System,2003,Texas,0.629,4.506,7.168
Brain and Other Nervous System,2003,Utah,0.682,4.686,6.869
Brain and Other Nervous System,2003,Vermont,0.77,4.506,5.853
Brain and Other Nervous System,2003,Virginia,0.58,3.803,6.551
Brain and Other Nervous System,2003,Washington,0.737,5.761,7.814
Brain and Other Nervous System,2003,West Virginia,0.531,4.257,8.013
Brain and Other Nervous System,2003,Wisconsin,0.695,4.746,6.831
Brain and Other Nervous System,2003,Wyoming,0.785,5.572,7.1
Brain and Other Nervous System,2004,Alabama,0.669,4.52,6.754
Brain and Other Nervous System,2004,Alaska,0.58,4.418,7.612
Brain and Other Nervous System,2004,Arizona,0.55,3.952,7.178
Brain and Other Nervous System,2004,Arkansas,0.787,4.906,6.232
Brain and Other Nervous System,2004,California,0.665,4.226,6.351
Brain and Other Nervous System,2004,Colorado,0.613,4.214,6.873
Brain and Other Nervous System,2004,Connecticut,0.547,4.051,7.412
Brain and Other Nervous System,2004,Delaware,0.47,3.805,8.088
Brain and Other Nervous System,2004,District of Columbia,0.589,3.271,5.555
Brain and Other Nervous System,2004,Florida,0.542,3.956,7.296
Brain and Other Nervous System,2004,Georgia,0.542,3.579,6.602
Brain and Other Nervous System,2004,Hawaii,0.595,2.476,4.163
Brain and Other Nervous System,2004,Idaho,0.708,5.201,7.342
Brain and Other Nervous System,2004,Illinois,0.597,4.078,6.825
Brain and Other Nervous System,2004,Indiana,0.634,4.554,7.18
Brain and Other Nervous System,2004,Iowa,0.662,4.943,7.469
Brain and Other Nervous System,2004,Kansas,0.803,5.403,6.727
Brain and Other Nervous System,2004,Kentucky,0.553,3.962,7.167
Brain and Other Nervous System,2004,Louisiana,0.743,4.332,5.829
Brain and Other Nervous System,2004,Maine,0.544,5.194,9.543
Brain and Other Nervous System,2004,Maryland,0.675,4.341,6.431
Brain and Other Nervous System,2004,Massachusetts,0.559,4.01,7.178
Brain and Other Nervous System,2004,Michigan,0.618,4.593,7.435
Brain and Other Nervous System,2004,Minnesota,0.665,4.443,6.683
Brain and Other Nervous System,2004,Mississippi,0.786,4.956,6.307
Brain and Other Nervous System,2004,Missouri,0.666,4.688,7.038
Brain and Other Nervous System,2004,Montana,0.591,4.555,7.707
Brain and Other Nervous System,2004,Nebraska,0.759,5.194,6.848
Brain and Other Nervous System,2004,Nevada,0.577,4.078,7.071
Brain and Other Nervous System,2004,New Hampshire,0.652,5.392,8.268
Brain and Other Nervous System,2004,New Jersey,0.52,3.925,7.554
Brain and Other Nervous System,2004,New Mexico,0.641,4.134,6.449
Brain and Other Nervous System,2004,New York,0.554,3.744,6.758
Brain and Other Nervous System,2004,North Carolina,0.628,4.258,6.776
Brain and Other Nervous System,2004,North Dakota,0.576,4.06,7.051
Brain and Other Nervous System,2004,Ohio,0.655,4.532,6.914
Brain and Other Nervous System,2004,Oklahoma,0.611,4.533,7.418
Brain and Other Nervous System,2004,Oregon,0.684,5.281,7.719
Brain and Other Nervous System,2004,Pennsylvania,0.573,4.258,7.434
Brain and Other Nervous System,2004,Rhode Island,0.557,4.809,8.639
Brain and Other Nervous System,2004,South Carolina,0.69,4.592,6.651
Brain and Other Nervous System,2004,South Dakota,0.739,5.825,7.888
Brain and Other Nervous System,2004,Tennessee,0.813,5.782,7.11
Brain and Other Nervous System,2004,Texas,0.612,4.208,6.871
Brain and Other Nervous System,2004,Utah,0.575,4.333,7.541
Brain and Other Nervous System,2004,Vermont,0.646,4.07,6.297
Brain and Other Nervous System,2004,Virginia,0.6,3.962,6.602
Brain and Other Nervous System,2004,Washington,0.732,5.529,7.558
Brain and Other Nervous System,2004,West Virginia,0.592,4.804,8.114
Brain and Other Nervous System,2004,Wisconsin,0.611,4.269,6.99
Brain and Other Nervous System,2004,Wyoming,0.721,5.618,7.794
Brain and Other Nervous System,2005,Alabama,0.636,3.981,6.263
Brain and Other Nervous System,2005,Alaska,0.556,3.933,7.077
Brain and Other Nervous System,2005,Arizona,0.67,4.706,7.026
Brain and Other Nervous System,2005,Arkansas,0.744,4.796,6.444
Brain and Other Nervous System,2005,California,0.699,4.396,6.292
Brain and Other Nervous System,2005,Colorado,0.581,4.203,7.236
Brain and Other Nervous System,2005,Connecticut,0.608,4.361,7.172
Brain and Other Nervous System,2005,Delaware,0.579,4.359,7.526
Brain and Other Nervous System,2005,District of Columbia,0.502,3.35,6.673
Brain and Other Nervous System,2005,Florida,0.567,4.13,7.283
Brain and Other Nervous System,2005,Georgia,0.583,3.862,6.625
Brain and Other Nervous System,2005,Hawaii,0.698,2.484,3.56
Brain and Other Nervous System,2005,Idaho,0.639,5.778,9.048
Brain and Other Nervous System,2005,Illinois,0.549,3.535,6.434
Brain and Other Nervous System,2005,Indiana,0.634,4.346,6.854
Brain and Other Nervous System,2005,Iowa,0.681,5.473,8.035
Brain and Other Nervous System,2005,Kansas,0.79,5.405,6.841
Brain and Other Nervous System,2005,Kentucky,0.606,4.093,6.758
Brain and Other Nervous System,2005,Louisiana,0.87,5.026,5.78
Brain and Other Nervous System,2005,Maine,0.701,5.244,7.477
Brain and Other Nervous System,2005,Maryland,0.609,3.508,5.761
Brain and Other Nervous System,2005,Massachusetts,0.564,4.09,7.248
Brain and Other Nervous System,2005,Michigan,0.639,4.824,7.549
Brain and Other Nervous System,2005,Minnesota,0.717,3.95,5.508
Brain and Other Nervous System,2005,Mississippi,0.844,5.536,6.557
Brain and Other Nervous System,2005,Missouri,0.635,4.637,7.305
Brain and Other Nervous System,2005,Montana,0.592,4.967,8.39
Brain and Other Nervous System,2005,Nebraska,0.635,4.939,7.779
Brain and Other Nervous System,2005,Nevada,0.671,4.09,6.093
Brain and Other Nervous System,2005,New Hampshire,0.649,4.882,7.521
Brain and Other Nervous System,2005,New Jersey,0.524,3.815,7.276
Brain and Other Nervous System,2005,New Mexico,0.587,3.499,5.961
Brain and Other Nervous System,2005,New York,0.558,3.904,7.002
Brain and Other Nervous System,2005,North Carolina,0.558,4.04,7.238
Brain and Other Nervous System,2005,North Dakota,0.563,5.034,8.948
Brain and Other Nervous System,2005,Ohio,0.572,4.314,7.54
Brain and Other Nervous System,2005,Oklahoma,0.699,4.932,7.054
Brain and Other Nervous System,2005,Oregon,0.826,6.064,7.342
Brain and Other Nervous System,2005,Pennsylvania,0.559,4.018,7.186
Brain and Other Nervous System,2005,Rhode Island,0.726,5.564,7.664
Brain and Other Nervous System,2005,South Carolina,0.632,4.49,7.103
Brain and Other Nervous System,2005,South Dakota,0.73,4.011,5.493
Brain and Other Nervous System,2005,Tennessee,0.827,5.312,6.426
Brain and Other Nervous System,2005,Texas,0.653,4.412,6.754
Brain and Other Nervous System,2005,Utah,0.571,4.514,7.901
Brain and Other Nervous System,2005,Vermont,0.514,4.426,8.616
Brain and Other Nervous System,2005,Virginia,0.65,4.13,6.355
Brain and Other Nervous System,2005,Washington,0.714,5.452,7.633
Brain and Other Nervous System,2005,West Virginia,0.725,5.044,6.959
Brain and Other Nervous System,2005,Wisconsin,0.648,4.817,7.434
Brain and Other Nervous System,2005,Wyoming,0.618,3.842,6.218
Brain and Other Nervous System,2006,Alabama,0.62,3.976,6.412
Brain and Other Nervous System,2006,Alaska,0.876,4.277,4.881
Brain and Other Nervous System,2006,Arizona,0.569,4.037,7.09
Brain and Other Nervous System,2006,Arkansas,0.634,4.301,6.78
Brain and Other Nervous System,2006,California,0.692,4.18,6.042
Brain and Other Nervous System,2006,Colorado,0.64,4.394,6.868
Brain and Other Nervous System,2006,Connecticut,0.565,3.965,7.022
Brain and Other Nervous System,2006,Delaware,0.664,4.973,7.485
Brain and Other Nervous System,2006,District of Columbia,0.655,3.736,5.702
Brain and Other Nervous System,2006,Florida,0.573,3.898,6.808
Brain and Other Nervous System,2006,Georgia,0.603,3.735,6.193
Brain and Other Nervous System,2006,Hawaii,0.501,2.113,4.213
Brain and Other Nervous System,2006,Idaho,0.78,5.304,6.803
Brain and Other Nervous System,2006,Illinois,0.572,4.018,7.022
Brain and Other Nervous System,2006,Indiana,0.604,4.536,7.515
Brain and Other Nervous System,2006,Iowa,0.738,5.261,7.131
Brain and Other Nervous System,2006,Kansas,0.834,5.17,6.201
Brain and Other Nervous System,2006,Kentucky,0.587,4.056,6.905
Brain and Other Nervous System,2006,Louisiana,0.728,4.556,6.254
Brain and Other Nervous System,2006,Maine,0.61,4.897,8.031
Brain and Other Nervous System,2006,Maryland,0.556,3.603,6.478
Brain and Other Nervous System,2006,Massachusetts,0.568,4.242,7.466
Brain and Other Nervous System,2006,Michigan,0.675,4.734,7.012
Brain and Other Nervous System,2006,Minnesota,0.577,4,6.933
Brain and Other Nervous System,2006,Mississippi,0.715,4.276,5.978
Brain and Other Nervous System,2006,Missouri,0.622,4.172,6.71
Brain and Other Nervous System,2006,Montana,0.633,4.664,7.369
Brain and Other Nervous System,2006,Nebraska,0.577,4.232,7.334
Brain and Other Nervous System,2006,Nevada,0.686,4.577,6.669
Brain and Other Nervous System,2006,New Hampshire,0.708,5.218,7.37
Brain and Other Nervous System,2006,New Jersey,0.48,3.512,7.313
Brain and Other Nervous System,2006,New Mexico,0.632,3.774,5.968
Brain and Other Nervous System,2006,New York,0.537,3.7,6.891
Brain and Other Nervous System,2006,North Carolina,0.527,3.824,7.249
Brain and Other Nervous System,2006,North Dakota,1.350 (Unreliable),6.247,4.628
Brain and Other Nervous System,2006,Ohio,0.598,4.457,7.459
Brain and Other Nervous System,2006,Oklahoma,0.564,4.334,7.685
Brain and Other Nervous System,2006,Oregon,0.569,4.445,7.817
Brain and Other Nervous System,2006,Pennsylvania,0.536,3.946,7.357
Brain and Other Nervous System,2006,Rhode Island,0.601,4.181,6.957
Brain and Other Nervous System,2006,South Carolina,0.614,4.39,7.15
Brain and Other Nervous System,2006,South Dakota,0.784,4.38,5.587
Brain and Other Nervous System,2006,Tennessee,0.754,5.082,6.745
Brain and Other Nervous System,2006,Texas,0.619,4.274,6.902
Brain and Other Nervous System,2006,Utah,0.754,5.362,7.112
Brain and Other Nervous System,2006,Vermont,0.573,4.762,8.314
Brain and Other Nervous System,2006,Virginia,0.587,3.515,5.991
Brain and Other Nervous System,2006,Washington,0.758,5.101,6.733
Brain and Other Nervous System,2006,West Virginia,0.499,3.818,7.658
Brain and Other Nervous System,2006,Wisconsin,0.562,4.544,8.091
Brain and Other Nervous System,2006,Wyoming,0.577,4.205,7.291
Brain and Other Nervous System,2007,Alabama,0.71,4.802,6.765
Brain and Other Nervous System,2007,Alaska,0.657,4.118,6.271
Brain and Other Nervous System,2007,Arizona,0.586,3.969,6.779
Brain and Other Nervous System,2007,Arkansas,0.75,5.539,7.383
Brain and Other Nervous System,2007,California,0.673,4.284,6.37
Brain and Other Nervous System,2007,Colorado,0.691,4.602,6.656
Brain and Other Nervous System,2007,Connecticut,0.589,4.003,6.792
Brain and Other Nervous System,2007,Delaware,0.536,3.743,6.98
Brain and Other Nervous System,2007,Florida,0.559,3.811,6.818
Brain and Other Nervous System,2007,Georgia,0.596,3.874,6.496
Brain and Other Nervous System,2007,Hawaii,0.478,2.014,4.208
Brain and Other Nervous System,2007,Idaho,0.609,4.944,8.124
Brain and Other Nervous System,2007,Illinois,0.594,3.837,6.462
Brain and Other Nervous System,2007,Indiana,0.631,4.692,7.431
Brain and Other Nervous System,2007,Iowa,0.68,5.307,7.804
Brain and Other Nervous System,2007,Kansas,0.654,4.607,7.042
Brain and Other Nervous System,2007,Kentucky,0.611,4.905,8.022
Brain and Other Nervous System,2007,Louisiana,0.762,4.44,5.824
Brain and Other Nervous System,2007,Maine,0.648,4.391,6.779
Brain and Other Nervous System,2007,Maryland,0.56,3.852,6.875
Brain and Other Nervous System,2007,Massachusetts,0.536,4.175,7.788
Brain and Other Nervous System,2007,Michigan,0.62,4.711,7.6
Brain and Other Nervous System,2007,Minnesota,0.783,4.815,6.149
Brain and Other Nervous System,2007,Mississippi,0.645,4.436,6.878
Brain and Other Nervous System,2007,Missouri,0.63,4.636,7.357
Brain and Other Nervous System,2007,Montana,0.835,4.949,5.924
Brain and Other Nervous System,2007,Nebraska,0.749,5.614,7.49
Brain and Other Nervous System,2007,Nevada,0.618,3.795,6.145
