Leading Cancer Sites,Year,Region,Race,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Brain and Other Nervous System,2002,Midwest,Black or African American,0.623,2.597,4.167
Brain and Other Nervous System,2002,Midwest,White,0.664,4.853,7.311
Brain and Other Nervous System,2002,South,Asian or Pacific Islander,0.444,1.693,3.809
Brain and Other Nervous System,2002,South,Black or African American,0.688,2.884,4.194
Brain and Other Nervous System,2002,South,White,0.677,4.901,7.241
Brain and Other Nervous System,2002,West,American Indian or Alaska Native,0.637,2.275,3.571
Brain and Other Nervous System,2002,West,Asian or Pacific Islander,0.641,2.244,3.501
Brain and Other Nervous System,2002,West,Black or African American,0.688,2.451,3.561
Brain and Other Nervous System,2002,West,White,0.671,4.906,7.314
Brain and Other Nervous System,2003,Northeast,Asian or Pacific Islander,0.357,1.289,3.614
Brain and Other Nervous System,2003,Northeast,Black or African American,0.517,2.248,4.345
Brain and Other Nervous System,2003,Northeast,White,0.546,4.205,7.698
Brain and Other Nervous System,2003,Midwest,Asian or Pacific Islander,0.597,1.967,3.295
Brain and Other Nervous System,2003,Midwest,Black or African American,0.61,2.516,4.122
Brain and Other Nervous System,2003,Midwest,White,0.686,4.87,7.094
Brain and Other Nervous System,2003,South,Asian or Pacific Islander,0.341,1.292,3.793
Brain and Other Nervous System,2003,South,Black or African American,0.661,2.824,4.272
Brain and Other Nervous System,2003,South,White,0.656,4.804,7.326
Brain and Other Nervous System,2003,West,American Indian or Alaska Native,0.948,2.554,2.695
Brain and Other Nervous System,2003,West,Asian or Pacific Islander,0.583,2.244,3.849
Brain and Other Nervous System,2003,West,Black or African American,0.579,2.883,4.979
Brain and Other Nervous System,2003,West,White,0.708,5.01,7.077
Brain and Other Nervous System,2004,Northeast,Asian or Pacific Islander,0.519,1.967,3.794
Brain and Other Nervous System,2004,Northeast,Black or African American,0.421,1.672,3.97
Brain and Other Nervous System,2004,Northeast,White,0.567,4.409,7.777
Brain and Other Nervous System,2004,Midwest,Asian or Pacific Islander,0.461,1.79,3.879
Brain and Other Nervous System,2004,Midwest,Black or African American,0.573,2.418,4.217
Brain and Other Nervous System,2004,Midwest,White,0.65,4.774,7.341
Brain and Other Nervous System,2004,South,Asian or Pacific Islander,0.62,2.373,3.829
Brain and Other Nervous System,2004,South,Black or African American,0.604,2.656,4.394
Brain and Other Nervous System,2004,South,White,0.628,4.627,7.369
Brain and Other Nervous System,2004,West,Asian or Pacific Islander,0.609,2.156,3.543
Brain and Other Nervous System,2004,West,Black or African American,0.789,2.955,3.746
Brain and Other Nervous System,2004,West,White,0.65,4.757,7.319
Brain and Other Nervous System,2005,Northeast,Asian or Pacific Islander,0.424,1.557,3.674
Brain and Other Nervous System,2005,Northeast,Black or African American,0.427,1.787,4.185
Brain and Other Nervous System,2005,Northeast,White,0.575,4.438,7.715
Brain and Other Nervous System,2005,Midwest,Asian or Pacific Islander,0.584,1.87,3.203
Brain and Other Nervous System,2005,Midwest,Black or African American,0.538,2.408,4.48
Brain and Other Nervous System,2005,Midwest,White,0.631,4.656,7.381
Brain and Other Nervous System,2005,South,American Indian or Alaska Native,0.526,2.209,4.201
Brain and Other Nervous System,2005,South,Asian or Pacific Islander,0.458,1.717,3.749
Brain and Other Nervous System,2005,South,Black or African American,0.666,2.829,4.249
Brain and Other Nervous System,2005,South,White,0.642,4.676,7.279
Brain and Other Nervous System,2005,West,American Indian or Alaska Native,0.429,1.607,3.745
Brain and Other Nervous System,2005,West,Asian or Pacific Islander,0.641,2.227,3.474
Brain and Other Nervous System,2005,West,Black or African American,0.696,2.598,3.733
Brain and Other Nervous System,2005,West,White,0.689,5.004,7.261
Brain and Other Nervous System,2006,Northeast,Asian or Pacific Islander,0.348,1.488,4.275
Brain and Other Nervous System,2006,Northeast,Black or African American,0.43,1.728,4.015
Brain and Other Nervous System,2006,Northeast,White,0.552,4.272,7.733
Brain and Other Nervous System,2006,Midwest,Asian or Pacific Islander,0.601,2.213,3.683
Brain and Other Nervous System,2006,Midwest,Black or African American,0.582,2.439,4.189
Brain and Other Nervous System,2006,Midwest,White,0.627,4.706,7.504
Brain and Other Nervous System,2006,South,American Indian or Alaska Native,0.458,2.739,5.977
Brain and Other Nervous System,2006,South,Asian or Pacific Islander,0.514,1.51,2.939
Brain and Other Nervous System,2006,South,Black or African American,0.618,2.466,3.989
Brain and Other Nervous System,2006,South,White,0.606,4.427,7.303
Brain and Other Nervous System,2006,West,Asian or Pacific Islander,0.57,2.061,3.619
Brain and Other Nervous System,2006,West,Black or African American,0.676,2.701,3.998
Brain and Other Nervous System,2006,West,White,0.681,4.716,6.927
Brain and Other Nervous System,2007,Northeast,Asian or Pacific Islander,0.411,1.427,3.469
Brain and Other Nervous System,2007,Northeast,Black or African American,0.446,1.856,4.161
Brain and Other Nervous System,2007,Northeast,White,0.563,4.318,7.677
Brain and Other Nervous System,2007,Midwest,Asian or Pacific Islander,0.44,1.658,3.766
Brain and Other Nervous System,2007,Midwest,Black or African American,0.626,2.651,4.235
Brain and Other Nervous System,2007,Midwest,White,0.633,4.735,7.478
Brain and Other Nervous System,2007,South,American Indian or Alaska Native,0.447,2.461,5.51
Brain and Other Nervous System,2007,South,Asian or Pacific Islander,0.404,1.524,3.774
Brain and Other Nervous System,2007,South,Black or African American,0.579,2.382,4.111
Brain and Other Nervous System,2007,South,White,0.613,4.53,7.388
Brain and Other Nervous System,2007,West,American Indian or Alaska Native,0.593,1.721,2.905
Brain and Other Nervous System,2007,West,Asian or Pacific Islander,0.474,1.75,3.692
Brain and Other Nervous System,2007,West,Black or African American,0.73,2.78,3.81
Brain and Other Nervous System,2007,West,White,0.668,4.737,7.095
Brain and Other Nervous System,2008,Northeast,Asian or Pacific Islander,0.363,1.444,3.982
Brain and Other Nervous System,2008,Northeast,Black or African American,0.564,2.175,3.853
Brain and Other Nervous System,2008,Northeast,White,0.533,4.145,7.777
Brain and Other Nervous System,2008,Midwest,American Indian or Alaska Native,0.612,4.211,6.882
Brain and Other Nervous System,2008,Midwest,Asian or Pacific Islander,0.621,2.183,3.515
Brain and Other Nervous System,2008,Midwest,Black or African American,0.612,2.689,4.397
Brain and Other Nervous System,2008,Midwest,White,0.652,4.966,7.618
Brain and Other Nervous System,2008,South,American Indian or Alaska Native,0.699,3.6,5.153
Brain and Other Nervous System,2008,South,Asian or Pacific Islander,0.374,1.514,4.054
Brain and Other Nervous System,2008,South,Black or African American,0.578,2.512,4.342
Brain and Other Nervous System,2008,South,White,0.639,4.587,7.177
Brain and Other Nervous System,2008,West,American Indian or Alaska Native,0.318,1.32,4.153
Brain and Other Nervous System,2008,West,Asian or Pacific Islander,0.566,2.039,3.601
Brain and Other Nervous System,2008,West,Black or African American,0.618,2.49,4.028
Brain and Other Nervous System,2008,West,White,0.673,4.818,7.156
Brain and Other Nervous System,2009,Northeast,Asian or Pacific Islander,0.372,1.496,4.019
Brain and Other Nervous System,2009,Northeast,Black or African American,0.506,2.035,4.025
Brain and Other Nervous System,2009,Northeast,White,0.609,4.589,7.536
Brain and Other Nervous System,2009,Midwest,Asian or Pacific Islander,0.422,1.584,3.757
Brain and Other Nervous System,2009,Midwest,Black or African American,0.61,2.716,4.453
Brain and Other Nervous System,2009,Midwest,White,0.682,4.946,7.255
Brain and Other Nervous System,2009,South,Asian or Pacific Islander,0.537,2.206,4.106
Brain and Other Nervous System,2009,South,Black or African American,0.607,2.601,4.286
Brain and Other Nervous System,2009,South,White,0.623,4.618,7.406
Brain and Other Nervous System,2009,West,American Indian or Alaska Native,0.367,1.349,3.673
Brain and Other Nervous System,2009,West,Asian or Pacific Islander,0.564,1.987,3.523
Brain and Other Nervous System,2009,West,Black or African American,0.664,2.786,4.197
Brain and Other Nervous System,2009,West,White,0.671,4.83,7.201
Brain and Other Nervous System,2010,Northeast,Asian or Pacific Islander,0.656,2.43,3.707
Brain and Other Nervous System,2010,Northeast,Black or African American,0.436,1.807,4.14
Brain and Other Nervous System,2010,Northeast,White,0.581,4.436,7.639
Brain and Other Nervous System,2010,Midwest,Asian or Pacific Islander,0.621,2.585,4.166
Brain and Other Nervous System,2010,Midwest,Black or African American,0.699,2.935,4.199
Brain and Other Nervous System,2010,Midwest,White,0.648,4.642,7.16
Brain and Other Nervous System,2010,South,American Indian or Alaska Native,0.819,2.905,3.549
Brain and Other Nervous System,2010,South,Asian or Pacific Islander,0.463,1.685,3.643
Brain and Other Nervous System,2010,South,Black or African American,0.662,2.615,3.952
Brain and Other Nervous System,2010,South,White,0.639,4.612,7.216
Brain and Other Nervous System,2010,West,American Indian or Alaska Native,0.563,2.074,3.686
Brain and Other Nervous System,2010,West,Asian or Pacific Islander,0.565,2.155,3.815
Brain and Other Nervous System,2010,West,Black or African American,0.679,2.778,4.092
Brain and Other Nervous System,2010,West,White,0.659,4.632,7.028
Brain and Other Nervous System,2011,Northeast,Asian or Pacific Islander,0.351,1.342,3.826
Brain and Other Nervous System,2011,Northeast,Black or African American,0.503,2.176,4.322
Brain and Other Nervous System,2011,Northeast,White,0.584,4.304,7.372
Brain and Other Nervous System,2011,Midwest,Asian or Pacific Islander,0.48,1.914,3.984
Brain and Other Nervous System,2011,Midwest,Black or African American,0.553,2.406,4.348
Brain and Other Nervous System,2011,Midwest,White,0.65,4.774,7.343
Brain and Other Nervous System,2011,South,American Indian or Alaska Native,0.594,2.14,3.6
Brain and Other Nervous System,2011,South,Asian or Pacific Islander,0.582,2.033,3.491
Brain and Other Nervous System,2011,South,Black or African American,0.597,2.407,4.031
Brain and Other Nervous System,2011,South,White,0.649,4.627,7.131
Brain and Other Nervous System,2011,West,American Indian or Alaska Native,0.513,1.852,3.607
Brain and Other Nervous System,2011,West,Asian or Pacific Islander,0.552,1.94,3.514
Brain and Other Nervous System,2011,West,Black or African American,0.596,2.461,4.132
Brain and Other Nervous System,2011,West,White,0.704,4.827,6.858
Brain and Other Nervous System,2012,Northeast,Asian or Pacific Islander,0.329,1.278,3.887
Brain and Other Nervous System,2012,Northeast,Black or African American,0.507,2.083,4.11
Brain and Other Nervous System,2012,Northeast,White,0.612,4.53,7.398
Brain and Other Nervous System,2012,Midwest,Asian or Pacific Islander,0.768,3.126,4.072
Brain and Other Nervous System,2012,Midwest,Black or African American,0.63,2.632,4.18
Brain and Other Nervous System,2012,Midwest,White,0.683,4.86,7.118
Brain and Other Nervous System,2012,South,Asian or Pacific Islander,0.375,1.584,4.225
Brain and Other Nervous System,2012,South,Black or African American,0.637,2.834,4.45
Brain and Other Nervous System,2012,South,White,0.673,4.788,7.109
Brain and Other Nervous System,2012,West,American Indian or Alaska Native,0.674,2.293,3.4
Brain and Other Nervous System,2012,West,Asian or Pacific Islander,0.617,2.294,3.716
Brain and Other Nervous System,2012,West,Black or African American,0.833,2.987,3.585
Brain and Other Nervous System,2012,West,White,0.716,4.909,6.861
Brain and Other Nervous System,2013,Northeast,Asian or Pacific Islander,0.428,1.945,4.546
Brain and Other Nervous System,2013,Northeast,Black or African American,0.481,2.077,4.315
Brain and Other Nervous System,2013,Northeast,White,0.577,4.339,7.519
Brain and Other Nervous System,2013,Midwest,American Indian or Alaska Native,0.615,3.248,5.282
Brain and Other Nervous System,2013,Midwest,Asian or Pacific Islander,0.675,2.104,3.117
Brain and Other Nervous System,2013,Midwest,Black or African American,0.575,2.284,3.975
Brain and Other Nervous System,2013,Midwest,White,0.68,4.847,7.131
Brain and Other Nervous System,2013,South,American Indian or Alaska Native,0.485,2.033,4.195
Brain and Other Nervous System,2013,South,Asian or Pacific Islander,0.534,1.911,3.582
Brain and Other Nervous System,2013,South,Black or African American,0.622,2.558,4.114
Brain and Other Nervous System,2013,South,White,0.675,4.83,7.153
Brain and Other Nervous System,2013,West,American Indian or Alaska Native,0.755,1.983,2.626
Brain and Other Nervous System,2013,West,Asian or Pacific Islander,0.622,2.316,3.726
Brain and Other Nervous System,2013,West,Black or African American,0.624,2.708,4.34
Brain and Other Nervous System,2013,West,White,0.7,4.831,6.899
Brain and Other Nervous System,2014,Northeast,Asian or Pacific Islander,0.546,2.028,3.717
Brain and Other Nervous System,2014,Northeast,Black or African American,0.617,2.404,3.897
Brain and Other Nervous System,2014,Northeast,White,0.627,4.614,7.364
Brain and Other Nervous System,2014,Midwest,Asian or Pacific Islander,0.313,1.34,4.286
Brain and Other Nervous System,2014,Midwest,Black or African American,0.694,2.996,4.314
Brain and Other Nervous System,2014,Midwest,White,0.676,4.834,7.152
Brain and Other Nervous System,2014,South,American Indian or Alaska Native,0.5,2.012,4.023
Brain and Other Nervous System,2014,South,Asian or Pacific Islander,0.579,2.018,3.485
Brain and Other Nervous System,2014,South,Black or African American,0.7,2.882,4.118
Brain and Other Nervous System,2014,South,White,0.703,4.832,6.868
Brain and Other Nervous System,2014,West,American Indian or Alaska Native,0.72,1.987,2.758
Brain and Other Nervous System,2014,West,Asian or Pacific Islander,0.611,2.261,3.699
Brain and Other Nervous System,2014,West,Black or African American,0.863,2.836,3.288
Brain and Other Nervous System,2014,West,White,0.71,4.912,6.918
Brain and Other Nervous System,2015,Northeast,Asian or Pacific Islander,0.43,1.911,4.446
Brain and Other Nervous System,2015,Northeast,Black or African American,0.544,2.206,4.054
Brain and Other Nervous System,2015,Northeast,White,0.652,4.686,7.19
Brain and Other Nervous System,2015,Midwest,Asian or Pacific Islander,0.866,2.485,2.87
Brain and Other Nervous System,2015,Midwest,Black or African American,0.608,2.54,4.178
Brain and Other Nervous System,2015,Midwest,White,0.69,4.868,7.051
Brain and Other Nervous System,2015,South,American Indian or Alaska Native,0.677,1.893,2.795
Brain and Other Nervous System,2015,South,Asian or Pacific Islander,0.69,2.113,3.063
Brain and Other Nervous System,2015,South,Black or African American,0.711,2.717,3.819
Brain and Other Nervous System,2015,South,White,0.703,4.848,6.9
Brain and Other Nervous System,2015,West,American Indian or Alaska Native,0.666,2.124,3.189
Brain and Other Nervous System,2015,West,Asian or Pacific Islander,0.768,2.629,3.422
Brain and Other Nervous System,2015,West,Black or African American,0.695,2.822,4.06
Brain and Other Nervous System,2015,West,White,0.695,4.856,6.983
Brain and Other Nervous System,2016,Northeast,Asian or Pacific Islander,0.586,2.348,4.007
Brain and Other Nervous System,2016,Northeast,Black or African American,0.577,2.345,4.063
Brain and Other Nervous System,2016,Northeast,White,0.703,4.903,6.975
Brain and Other Nervous System,2016,Midwest,Asian or Pacific Islander,0.606,1.89,3.12
Brain and Other Nervous System,2016,Midwest,Black or African American,0.652,2.605,3.997
Brain and Other Nervous System,2016,Midwest,White,0.715,4.976,6.958
Brain and Other Nervous System,2016,South,American Indian or Alaska Native,0.668,2.276,3.409
Brain and Other Nervous System,2016,South,Asian or Pacific Islander,0.632,2.365,3.74
Brain and Other Nervous System,2016,South,Black or African American,0.649,2.566,3.952
Brain and Other Nervous System,2016,South,White,0.726,4.857,6.69
Brain and Other Nervous System,2016,West,American Indian or Alaska Native,0.572,1.618,2.827
Brain and Other Nervous System,2016,West,Asian or Pacific Islander,0.733,2.393,3.266
Brain and Other Nervous System,2016,West,Black or African American,0.941,3.029,3.22
Brain and Other Nervous System,2016,West,White,0.778,4.979,6.399
Breast,1999,Northeast,Asian or Pacific Islander,0.125,5.091,40.697
Breast,1999,Northeast,Black or African American,0.303,19.986,65.916
Breast,1999,Northeast,White,0.206,16.262,78.958
Breast,1999,Midwest,American Indian or Alaska Native,0.367,15.682,42.705
Breast,1999,Midwest,Asian or Pacific Islander,0.208,9.268,44.468
Breast,1999,Midwest,Black or African American,0.31,22.915,73.802
Breast,1999,Midwest,White,0.203,15.236,75.072
Breast,1999,South,American Indian or Alaska Native,0.179,10.15,56.784
Breast,1999,South,Asian or Pacific Islander,0.126,4.668,36.916
Breast,1999,South,Black or African American,0.311,20.925,67.196
Breast,1999,South,White,0.193,13.842,71.904
Breast,1999,West,American Indian or Alaska Native,0.199,7.596,38.184
Breast,1999,West,Asian or Pacific Islander,0.148,7.921,53.357
Breast,1999,West,Black or African American,0.264,17.847,67.633
Breast,1999,West,White,0.187,14.259,76.348
Breast,2000,Northeast,Asian or Pacific Islander,0.12,4.901,40.805
Breast,2000,Northeast,Black or African American,0.302,19.272,63.829
Breast,2000,Northeast,White,0.208,16.086,77.494
Breast,2000,Midwest,American Indian or Alaska Native,0.285,11.287,39.598
Breast,2000,Midwest,Asian or Pacific Islander,0.142,5.886,41.453
Breast,2000,Midwest,Black or African American,0.319,22.11,69.26
Breast,2000,Midwest,White,0.209,15.359,73.579
Breast,2000,South,American Indian or Alaska Native,0.16,7.319,45.831
Breast,2000,South,Asian or Pacific Islander,0.133,5.264,39.597
Breast,2000,South,Black or African American,0.304,20.39,66.98
Breast,2000,South,White,0.197,14.026,71.09
Breast,2000,West,American Indian or Alaska Native,0.199,7.697,38.634
Breast,2000,West,Asian or Pacific Islander,0.154,7.782,50.514
Breast,2000,West,Black or African American,0.284,19.382,68.29
Breast,2000,West,White,0.192,14.357,74.938
Breast,2001,Northeast,Asian or Pacific Islander,0.154,5.947,38.525
Breast,2001,Northeast,Black or African American,0.322,20.109,62.372
Breast,2001,Northeast,White,0.205,15.74,76.921
Breast,2001,Midwest,American Indian or Alaska Native,0.191,8.527,44.746
Breast,2001,Midwest,Asian or Pacific Islander,0.132,5.432,41.071
Breast,2001,Midwest,Black or African American,0.308,21.724,70.584
Breast,2001,Midwest,White,0.199,14.605,73.469
Breast,2001,South,American Indian or Alaska Native,0.159,7.069,44.589
Breast,2001,South,Asian or Pacific Islander,0.146,5.615,38.585
Breast,2001,South,Black or African American,0.31,20.513,66.206
Breast,2001,South,White,0.196,13.743,70.232
Breast,2001,West,American Indian or Alaska Native,0.163,6.386,39.065
Breast,2001,West,Asian or Pacific Islander,0.155,8.294,53.401
Breast,2001,West,Black or African American,0.275,18.471,67.089
Breast,2001,West,White,0.184,13.679,74.361
Breast,2002,Northeast,Asian or Pacific Islander,0.138,5.601,40.641
Breast,2002,Northeast,Black or African American,0.292,19.448,66.551
Breast,2002,Northeast,White,0.207,15.254,73.79
Breast,2002,Midwest,American Indian or Alaska Native,0.194,10.449,53.814
Breast,2002,Midwest,Asian or Pacific Islander,0.183,7.364,40.214
Breast,2002,Midwest,Black or African American,0.31,22.146,71.345
Breast,2002,Midwest,White,0.202,14.375,71.323
Breast,2002,South,American Indian or Alaska Native,0.213,9.772,45.965
Breast,2002,South,Asian or Pacific Islander,0.16,6.148,38.469
Breast,2002,South,Black or African American,0.302,20.254,67.017
Breast,2002,South,White,0.198,13.656,68.824
Breast,2002,West,American Indian or Alaska Native,0.164,6.429,39.181
Breast,2002,West,Asian or Pacific Islander,0.15,8.088,54.088
Breast,2002,West,Black or African American,0.281,18.165,64.693
Breast,2002,West,White,0.185,13.466,72.691
Breast,2003,Northeast,Asian or Pacific Islander,0.128,5.118,39.886
Breast,2003,Northeast,Black or African American,0.296,18.921,63.83
Breast,2003,Northeast,White,0.211,15.122,71.533
Breast,2003,Midwest,American Indian or Alaska Native,0.222,9.805,44.243
Breast,2003,Midwest,Asian or Pacific Islander,0.163,6.387,39.25
Breast,2003,Midwest,Black or African American,0.317,21.281,67.178
Breast,2003,Midwest,White,0.212,14.156,66.663
Breast,2003,South,American Indian or Alaska Native,0.175,8.174,46.634
Breast,2003,South,Asian or Pacific Islander,0.159,6.094,38.264
Breast,2003,South,Black or African American,0.308,20.836,67.647
Breast,2003,South,White,0.203,13.216,65.228
Breast,2003,West,American Indian or Alaska Native,0.221,8.707,39.444
Breast,2003,West,Asian or Pacific Islander,0.16,8.031,50.104
Breast,2003,West,Black or African American,0.272,17.366,63.923
Breast,2003,West,White,0.199,13.434,67.434
Breast,2004,Northeast,Asian or Pacific Islander,0.149,6.182,41.363
Breast,2004,Northeast,Black or African American,0.271,17.436,64.421
Breast,2004,Northeast,White,0.201,14.53,72.238
Breast,2004,Midwest,American Indian or Alaska Native,0.233,10.01,42.976
Breast,2004,Midwest,Asian or Pacific Islander,0.216,8.288,38.294
Breast,2004,Midwest,Black or African American,0.303,20.548,67.778
Breast,2004,Midwest,White,0.204,13.455,66.085
Breast,2004,South,American Indian or Alaska Native,0.238,9.825,41.3
Breast,2004,South,Asian or Pacific Islander,0.147,5.439,37.048
Breast,2004,South,Black or African American,0.289,19.443,67.283
Breast,2004,South,White,0.204,12.996,63.828
Breast,2004,West,American Indian or Alaska Native,0.211,8.45,40.036
Breast,2004,West,Asian or Pacific Islander,0.15,7.775,51.864
Breast,2004,West,Black or African American,0.272,17.601,64.713
Breast,2004,West,White,0.199,13.041,65.636
Breast,2005,Northeast,Asian or Pacific Islander,0.136,5.72,42.061
Breast,2005,Northeast,Black or African American,0.281,18.116,64.443
Breast,2005,Northeast,White,0.196,13.909,71.075
Breast,2005,Midwest,American Indian or Alaska Native,0.302,11.642,38.598
Breast,2005,Midwest,Asian or Pacific Islander,0.141,5.17,36.644
Breast,2005,Midwest,Black or African American,0.291,20.433,70.097
Breast,2005,Midwest,White,0.203,13.474,66.318
Breast,2005,South,American Indian or Alaska Native,0.207,8.487,41.002
Breast,2005,South,Asian or Pacific Islander,0.133,4.9,36.758
Breast,2005,South,Black or African American,0.298,19.772,66.348
Breast,2005,South,White,0.202,12.858,63.555
Breast,2005,West,American Indian or Alaska Native,0.231,8.867,38.369
Breast,2005,West,Asian or Pacific Islander,0.156,8.086,51.901
Breast,2005,West,Black or African American,0.285,17.988,63.127
Breast,2005,West,White,0.192,12.657,66.06
Breast,2006,Northeast,Asian or Pacific Islander,0.128,5.721,44.801
Breast,2006,Northeast,Black or African American,0.267,17.451,65.319
Breast,2006,Northeast,White,0.189,13.609,72.05
Breast,2006,Midwest,American Indian or Alaska Native,0.204,9.855,48.339
Breast,2006,Midwest,Asian or Pacific Islander,0.118,4.671,39.434
Breast,2006,Midwest,Black or African American,0.278,19.859,71.467
Breast,2006,Midwest,White,0.199,13.232,66.33
Breast,2006,South,American Indian or Alaska Native,0.143,6.576,45.996
Breast,2006,South,Asian or Pacific Islander,0.152,5.659,37.337
Breast,2006,South,Black or African American,0.285,19.26,67.491
Breast,2006,South,White,0.193,12.349,63.897
Breast,2006,West,American Indian or Alaska Native,0.217,7.675,35.399
Breast,2006,West,Asian or Pacific Islander,0.156,7.811,50.148
Breast,2006,West,Black or African American,0.25,15.976,63.897
Breast,2006,West,White,0.193,12.625,65.577
Breast,2007,Northeast,Asian or Pacific Islander,0.133,5.572,41.853
Breast,2007,Northeast,Black or African American,0.245,16.519,67.353
Breast,2007,Northeast,White,0.182,13.107,72.025
Breast,2007,Midwest,American Indian or Alaska Native,0.244,10.808,44.221
Breast,2007,Midwest,Asian or Pacific Islander,0.111,4.674,42.084
Breast,2007,Midwest,Black or African American,0.29,19.66,67.823
Breast,2007,Midwest,White,0.193,12.806,66.499
Breast,2007,South,American Indian or Alaska Native,0.149,7.356,49.242
Breast,2007,South,Asian or Pacific Islander,0.118,4.512,38.182
Breast,2007,South,Black or African American,0.269,19.021,70.681
Breast,2007,South,White,0.187,12.144,64.922
Breast,2007,West,American Indian or Alaska Native,0.187,7.37,39.431
Breast,2007,West,Asian or Pacific Islander,0.137,7.17,52.509
Breast,2007,West,Black or African American,0.252,17.227,68.287
Breast,2007,West,White,0.184,12.238,66.569
Breast,2008,Northeast,Asian or Pacific Islander,0.116,4.99,43.03
Breast,2008,Northeast,Black or African American,0.238,16.596,69.762
Breast,2008,Northeast,White,0.175,12.886,73.541
Breast,2008,Midwest,American Indian or Alaska Native,0.241,9.527,39.588
Breast,2008,Midwest,Asian or Pacific Islander,0.155,6.669,42.949
Breast,2008,Midwest,Black or African American,0.28,19.63,70.02
Breast,2008,Midwest,White,0.192,12.763,66.592
Breast,2008,South,American Indian or Alaska Native,0.157,7.213,45.816
Breast,2008,South,Asian or Pacific Islander,0.144,5.927,41.227
Breast,2008,South,Black or African American,0.268,18.866,70.392
Breast,2008,South,White,0.182,11.784,64.8
Breast,2008,West,American Indian or Alaska Native,0.182,6.75,37.155
Breast,2008,West,Asian or Pacific Islander,0.131,7.183,54.944
Breast,2008,West,Black or African American,0.248,16.656,67.034
Breast,2008,West,White,0.176,11.881,67.675
Breast,2009,Northeast,Asian or Pacific Islander,0.111,4.706,42.498
Breast,2009,Northeast,Black or African American,0.251,17.327,69.056
Breast,2009,Northeast,White,0.171,12.633,74.021
Breast,2009,Midwest,American Indian or Alaska Native,0.233,8.79,37.782
Breast,2009,Midwest,Asian or Pacific Islander,0.125,5.495,44.127
Breast,2009,Midwest,Black or African American,0.242,17.52,72.484
